Consulta 1: Todas as escolas com suas cidades e telefones ;
codigo|nome|cod_municipio|endereco|compl_endereco|bairro|cod_loc_dif|cod_escola|ddd|numero|codigo|nome|uf
11022558|EIEEF HAP BITT TUPARI|1100015|TERRA INDIGENA RIO BRANCO|ALDEIA COLORADO|RURAL|2|11022558|69|36413839|1100015|Alta Floresta D'Oeste|RO
11024275|CEEJA LUIZ VAZ DE CAMOES|1100015|AVENIDA RIO DE JANEIRO|ESCOLA|CIDADE ALTA|0|11024275|69|36412656|1100015|Alta Floresta D'Oeste|RO
11024291|EMMEF 7 DE SETEMBRO|1100015|LINHA 60 COM A 140|||0|11024291|69|36413630|1100015|Alta Floresta D'Oeste|RO
11024372|EMEIEF ANA NERY|1100015|ROLIM DE MOURA DO GUAPORE|||0|11024372|69|36413630|1100015|Alta Floresta D'Oeste|RO
11024666|EMEIEF BOA ESPERANCA|1100015|LINHA P 50 KM 22|ZONA RURAL|LINHA P.50|0||||1100015|Alta Floresta D'Oeste|RO
11024682|EEEFM EURIDICE LOPES PEDROSO|1100015|AVENIDA MATO GROSSO||CENTRO|0|11024682|69|36412015|1100015|Alta Floresta D'Oeste|RO
11024828|EMEIEF IZIDORO STEDILE|1100015|LINHA 138 KM 100|DISTRITO|IZIDOLANDIA|0|11024828|69|36412215|1100015|Alta Floresta D'Oeste|RO
11024917|EMEIEF JOSE BASILIO DA GAMA|1100015|LINHA 42|||0||||1100015|Alta Floresta D'Oeste|RO
11024968|EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA|1100015|AVENIDA AMAPA||SANTA FELICIDADE|0|11024968|69|36412127|1100015|Alta Floresta D'Oeste|RO
11025034|EMMEF MALBA TAHAN|1100015|LINHA 95 COM 140|||0|11025034|69|36413630|1100015|Alta Floresta D'Oeste|RO
11025077|EMEIEF MARIA DE SOUZA PEGO|1100015|LINHA 47|||0||||1100015|Alta Floresta D'Oeste|RO
11025115|EMMEF MARTIM AFONSO DE SOUZA|1100015|LINHA 50 COM A 134|||0|11025115|69|36413630|1100015|Alta Floresta D'Oeste|RO
11025280|EMEIEF PADRE FEIJO|1100015|LINHA 105 COM A 152|DISTR. DE FILADELFIA|ZONA RURAL|0|11025280|69|36413630|1100015|Alta Floresta D'Oeste|RO
11025310|EMEIEF PEDRO ALEIXO|1100015|LINHA 148 COM A 65 KM 38|||0||||1100015|Alta Floresta D'Oeste|RO
11025352|EMEIEF POTY|1100015|LINHA 60 COM A 156|KM 18|ZONA RURAL|0|11025352|69|36412215|1100015|Alta Floresta D'Oeste|RO
11025476|EMMEF SAO JORGE|1100015|LINHA 156 COM A 85 ESQUINA COM A 90 KM 53||||11025476|69|36413630|1100015|Alta Floresta D'Oeste|RO
11025620|EEEF TANCREDO DE ALMEIDA NEVES|1100015|AVENIDA ALTA FLORESTA||PRINCESA IZABEL|0||||1100015|Alta Floresta D'Oeste|RO
11025638|COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XI|1100015|RUA NEREU RAMOS||REDONDO|0|11025638|69|36413924|1100015|Alta Floresta D'Oeste|RO
11025654|EMEIEF FLORESTA ENCANTADA|1100015|AV. BAHIA||CIDADE ALTA|0|11025654|69|36413263|1100015|Alta Floresta D'Oeste|RO
11037938|EIEEF ERAPOARON MAKURAP|1100015|TERRA INDIGENA RIO BRANCO|ALDEIA BARRANCO ALTO|RURAL||11037938|69|36412555|1100015|Alta Floresta D'Oeste|RO
11037962|EIEEF KON KOATT TUPARI|1100015|TERRA INDIGENA RIO BRANCO|ALDEIA CAJUI|RURAL|2|11037962|69|36413839|1100015|Alta Floresta D'Oeste|RO
11038047|EIEEF SAW D JO TUPARI|1100015|RESERVA BIOLOGICA VALE DO GUAPORE|ALDEIA PALHAL|RURAL|2|11038047|69|36412555|1100015|Alta Floresta D'Oeste|RO
11038373|EIEEFM BOATT GERAINNY|1100015|TERRA INDIGENA RIO BRANCO|ALDEIA SAO LUIZ|RURAL|2|11038373|69|36412555|1100015|Alta Floresta D'Oeste|RO
11038381|EIEEF KAP SOGO TUPARI|1100015|TERRA INDIGENA RIO BRANCO|ALDEIA TRINDADE|RURAL||11038381|69|36412555|1100015|Alta Floresta D'Oeste|RO
11039493|CRECHE MUNICIPAL CANTINHO DA ALEGRIA|1100015|RUA TERESINA / MONTEIRO LOBATO|PREDIO|REDONDO|0|11039493|69|36412299|1100015|Alta Floresta D'Oeste|RO
11046236|EIEEF MEKITOM TUPARI|1100015|TERRA INDIGENA RIO BRANCO|ALDEIA POCAO|RURAL|2|11046236|69|36413839|1100015|Alta Floresta D'Oeste|RO
11046244|EIEEF AMEN KOARE TUPARI|1100015|TERRA INDIGENA RIO BRANCO|ALDEIA FIGUEIRA|RURAL|2|11046244|69|36412555|1100015|Alta Floresta D'Oeste|RO
11046252|EIEEFM ANOMAE TUPARI|1100015|TERRA INDIGENA RIO BRANCO|ALDEIA SERRINHA|RURAL|2|11046252|69|36413839|1100015|Alta Floresta D'Oeste|RO
11046686|EIEEF PEP O TUPARI|1100015|TERRA INDIGENA RIO BRANCO|ALDEIA BOM JESUS|RURAL||11046686|69|36413839|1100015|Alta Floresta D'Oeste|RO
11046864|CENTRO EDUCACIONAL DR ANTONIO LAZARO DE MOURA|1100015|AV MINAS GERAIS ESQUINA COM A FORTALEZA||CIDADE ALTA|0|11046864|69|36413055|1100015|Alta Floresta D'Oeste|RO
11047402|EMEI MONTEIRO LOBATO|1100015|AV. NILO PECANHA||REDONDO|0||||1100015|Alta Floresta D'Oeste|RO
11047461|EMEIEF 17 DE JUNHO|1100015|AVENIDA BRASIL||REDONDO|0||||1100015|Alta Floresta D'Oeste|RO
11049782|EMMEF HERBERT JOSE DE SOUSA|1100015|LINHA 144 KM 50|ZONA RURAL||0||||1100015|Alta Floresta D'Oeste|RO
11050594|EMEF MARIOMA PEREIRA DA SILVA|1100015|RUA FORTALEZA||CIDADE ALTA|0||||1100015|Alta Floresta D'Oeste|RO
