matricula,ano,nota,frequencia,status,tipo
0,2016,67,96,Aprovado,TURMA
1,2019,0,73,R-freq,TURMA
1,2019,11,76,R-nota,TURMA
1,2020,0,0,Cancelado,TURMA
1,2020,0,0,Cancelado,TURMA
1,2021,3,17,R-freq,TURMA
1,2021,21,80,R-nota,TURMA
1,2022,0,25,R-freq,TURMA
1,2022,0,0,Matriculado,TURMA
2,2015,72,96,Aprovado,TURMA
3,2022,72,100,Aprovado,TURMA
4,2022,0,0,Cancelado,TURMA
4,2022,0,0,Matriculado,TURMA
5,2016,1,83,R-nota,TURMA
5,2016,29,86,R-nota,TURMA
5,2017,61,100,Aprovado,TURMA
5,2019,0,0,Aprovado,EQUIVALENCIA
6,2017,95,100,Aprovado,TURMA
6,2019,0,0,Aprovado,EQUIVALENCIA
7,2018,1,93,R-nota,TURMA
7,2018,79,93,Aprovado,TURMA
7,2019,0,0,Aprovado,EQUIVALENCIA
8,2019,61,100,Aprovado,TURMA
9,2020,100,100,Aprovado,TURMA
10,2016,75,100,Aprovado,TURMA
11,2020,0,0,Cancelado,TURMA
11,2021,0,0,Cancelado,TURMA
11,2022,1,90,R-nota,TURMA
12,2015,52,90,Aprovado,TURMA
13,2017,51,93,Aprovado,TURMA
13,2019,0,0,Aprovado,EQUIVALENCIA
14,2018,70,93,Aprovado,TURMA
14,2019,0,0,Aprovado,EQUIVALENCIA
15,2019,76,100,Aprovado,TURMA
16,2021,90,100,Aprovado,TURMA
17,2015,68,100,Aprovado,TURMA
18,2022,0,100,R-nota,TURMA
19,2016,0,33,R-freq,TURMA
19,2016,0,100,Cancelado,TURMA
19,2017,80,93,Aprovado,TURMA
19,2019,0,0,Aprovado,EQUIVALENCIA
20,2019,71,100,Aprovado,TURMA
21,2020,68,100,Aprovado,TURMA
22,2013,75,100,Aprovado,TURMA
23,2017,70,83,Aprovado,TURMA
24,2012,17,96,R-nota,TURMA
24,2012,0,50,R-freq,TURMA
24,2014,0,0,R-freq,TURMA
24,2015,3,90,R-nota,TURMA
24,2015,0,0,R-freq,TURMA
24,2017,50,93,Aprovado,TURMA
25,2017,63,90,Aprovado,TURMA
26,2019,25,90,R-nota,TURMA
26,2019,71,76,Aprovado,TURMA
27,2020,87,100,Aprovado,TURMA
28,2014,81,0,Aprovado,EQUIVALENCIA
29,2021,83,100,Aprovado,TURMA
30,2018,65,96,Aprovado,TURMA
30,2019,0,0,Aprovado,EQUIVALENCIA
31,2021,100,100,Aprovado,TURMA
32,2016,85,93,Aprovado,TURMA
33,2019,8,96,R-nota,TURMA
33,2019,70,100,Aprovado,TURMA
34,2017,80,100,Aprovado,TURMA
34,2019,0,0,Aprovado,EQUIVALENCIA
35,2020,0,0,Cancelado,TURMA
35,2020,0,0,Cancelado,TURMA
35,2021,6,100,R-nota,TURMA
35,2021,36,100,R-nota,TURMA
35,2022,21,100,R-nota,TURMA
35,2022,0,0,Matriculado,TURMA
36,2020,100,100,Aprovado,TURMA
37,2022,4,94,R-nota,TURMA
