"Id Empenho";"CÛdigo Empenho";"CÛdigo Empenho Resumido";"Data Emiss„o";"CÛdigo Tipo Documento";"Tipo Documento";"Tipo Empenho";"EspÈcie Empenho";"CÛdigo ”rg„o Superior";"”rg„o Superior";"CÛdigo ”rg„o";"”rg„o";"CÛdigo Unidade Gestora";"Unidade Gestora";"CÛdigo Gest„o";"Gest„o";"CÛdigo Favorecido";"Favorecido";"ObservaÁ„o";"CÛdigo Esfera OrÁament·ria";"Esfera OrÁament·ria";"CÛdigo Tipo CrÈdito";"Tipo CrÈdito";"CÛdigo Grupo Fonte Recurso";"Grupo Fonte Recurso";"CÛdigo Fonte Recurso";"Fonte Recurso";"CÛdigo Unidade OrÁament·ria";"Unidade OrÁament·ria";"CÛdigo FunÁ„o";"FunÁ„o";"CÛdigo SubFunÁ„o";"SubFunÁ„o";"CÛdigo Programa";"Programa";"CÛdigo AÁ„o";"AÁ„o";"Linguagem Cidad„";"CÛdigo SubtÌtulo (Localizador)";"SubtÌtulo (Localizador)";"CÛdigo Plano OrÁament·rio";"Plano OrÁament·rio";"CÛdigo Programa Governo";"Nome Programa Governo";"Autor Emenda";"CÛdigo Categoria de Despesa";"Categoria de Despesa";"CÛdigo Grupo de Despesa";"Grupo de Despesa";"CÛdigo Modalidade de AplicaÁ„o";"Modalidade de AplicaÁ„o";"CÛdigo Elemento de Despesa";"Elemento de Despesa";"Processo";"Modalidade de LicitaÁ„o";"Inciso";"Amparo";"ReferÍncia de Dispensa ou Inexigibilidade";"CÛdigo ConvÍnio";"Contrato de Repasse / Termo de Parceria / Outros";"Valor Original do Empenho";"Valor do Empenho Convertido pra R$";"Valor Utilizado na Convers„o"
"47213001";"154003152792015NE004848";"2015NE004848";"01/05/2015";"NE";"Nota de Empenho";"Ordin·rio";"ORIGINAL";"26000";"MinistÈrio da EducaÁ„o";"26291";"FundaÁ„o CoordenaÁ„o de AperfeiÁoamento ";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"15279";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"***.198.838-**";"DANIEL ALBIERO";"PARA ATENDER AUXPE FUNCAP - 2015SLR44030 - CUSTEIO.";"1";"OrÁamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - ExercÌcio Corrente";"12";"RECURSOS DEST.A MANUT.E DES.DO ENSINO";"26291";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"12";"EducaÁ„o";"364";"Ensino superior";"2032";"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"0487";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSINO SUPERIOR";"Bolsas de Estudos no PaÌs";"04870001";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSI - NACIONAL";"0002";"CONCESSAO DE BOLSAS DE ESTUDOS NO PAIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"AplicaÁıes Diretas";"20";"AuxÌlio Financeiro a Pesquisadores";"88887.099787/2015-01";"N„o se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"100000,00";"100000,00";"1,0000"
"48917036";"154003152792015NE006697";"2015NE006697";"01/05/2015";"NE";"Nota de Empenho";"Ordin·rio";"ORIGINAL";"26000";"MinistÈrio da EducaÁ„o";"26291";"FundaÁ„o CoordenaÁ„o de AperfeiÁoamento ";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"15279";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"***.198.838-**";"DANIEL ALBIERO";"PARA ATENDER AUXPE FUNCAP - 2015SLR49910 - CUSTEIO.";"1";"OrÁamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - ExercÌcio Corrente";"12";"RECURSOS DEST.A MANUT.E DES.DO ENSINO";"26291";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"12";"EducaÁ„o";"364";"Ensino superior";"2032";"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"0487";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSINO SUPERIOR";"Bolsas de Estudos no PaÌs";"04870001";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSI - NACIONAL";"0002";"CONCESSAO DE BOLSAS DE ESTUDOS NO PAIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"AplicaÁıes Diretas";"20";"AuxÌlio Financeiro a Pesquisadores";"88887.099787/2015-01";"N„o se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"25000,00";"25000,00";"1,0000"
"43616796";"154003152792015NE006707";"2015NE006707";"01/05/2015";"NE";"Nota de Empenho";"Ordin·rio";"ORIGINAL";"26000";"MinistÈrio da EducaÁ„o";"26291";"FundaÁ„o CoordenaÁ„o de AperfeiÁoamento ";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"15279";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"***.111.036-**";"ALEXANDRE SANTOS PIMENTA";"PARA ATENDER AUXPE FAPERN - 2015SLR49834 - CUSTEIO.";"1";"OrÁamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - ExercÌcio Corrente";"12";"RECURSOS DEST.A MANUT.E DES.DO ENSINO";"26291";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"12";"EducaÁ„o";"364";"Ensino superior";"2032";"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"0487";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSINO SUPERIOR";"Bolsas de Estudos no PaÌs";"04870001";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSI - NACIONAL";"0002";"CONCESSAO DE BOLSAS DE ESTUDOS NO PAIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"AplicaÁıes Diretas";"20";"AuxÌlio Financeiro a Pesquisadores";"88887.100674/2015-01";"N„o se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"8750,00";"8750,00";"1,0000"
"48212907";"154003152792015NE004859";"2015NE004859";"01/05/2015";"NE";"Nota de Empenho";"Ordin·rio";"ORIGINAL";"26000";"MinistÈrio da EducaÁ„o";"26291";"FundaÁ„o CoordenaÁ„o de AperfeiÁoamento ";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"15279";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"***.111.036-**";"ALEXANDRE SANTOS PIMENTA";"PARA ATENDER AUXPE FAPERN - 2015SLR44712 - CUSTEIO.";"1";"OrÁamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - ExercÌcio Corrente";"12";"RECURSOS DEST.A MANUT.E DES.DO ENSINO";"26291";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"12";"EducaÁ„o";"364";"Ensino superior";"2032";"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"0487";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSINO SUPERIOR";"Bolsas de Estudos no PaÌs";"04870001";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSI - NACIONAL";"0002";"CONCESSAO DE BOLSAS DE ESTUDOS NO PAIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"AplicaÁıes Diretas";"20";"AuxÌlio Financeiro a Pesquisadores";"88887.100674/2015-01";"N„o se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"35000,00";"35000,00";"1,0000"
"44517081";"154003152792015NE006698";"2015NE006698";"01/05/2015";"NE";"Nota de Empenho";"Ordin·rio";"ORIGINAL";"26000";"MinistÈrio da EducaÁ„o";"26291";"FundaÁ„o CoordenaÁ„o de AperfeiÁoamento ";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"15279";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"***.626.423-**";"PEDRO PEDROSA REBOUCAS FILHO";"PARA ATENDER AUXPE FUNCAP - 2015SLR49910 - CUSTEIO.";"1";"OrÁamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - ExercÌcio Corrente";"12";"RECURSOS DEST.A MANUT.E DES.DO ENSINO";"26291";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"12";"EducaÁ„o";"364";"Ensino superior";"2032";"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"0487";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSINO SUPERIOR";"Bolsas de Estudos no PaÌs";"04870001";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSI - NACIONAL";"0002";"CONCESSAO DE BOLSAS DE ESTUDOS NO PAIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"AplicaÁıes Diretas";"20";"AuxÌlio Financeiro a Pesquisadores";"88887.099788/2015-01";"N„o se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"20000,00";"20000,00";"1,0000"
"46013012";"154003152792015NE004845";"2015NE004845";"01/05/2015";"NE";"Nota de Empenho";"Ordin·rio";"ORIGINAL";"26000";"MinistÈrio da EducaÁ„o";"26291";"FundaÁ„o CoordenaÁ„o de AperfeiÁoamento ";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"15279";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"***.626.423-**";"PEDRO PEDROSA REBOUCAS FILHO";"PARA ATENDER AUXPE FUNCAP - 2015SLR44030 - CUSTEIO.";"1";"OrÁamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - ExercÌcio Corrente";"12";"RECURSOS DEST.A MANUT.E DES.DO ENSINO";"26291";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"12";"EducaÁ„o";"364";"Ensino superior";"2032";"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"0487";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSINO SUPERIOR";"Bolsas de Estudos no PaÌs";"04870001";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSI - NACIONAL";"0002";"CONCESSAO DE BOLSAS DE ESTUDOS NO PAIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"AplicaÁıes Diretas";"20";"AuxÌlio Financeiro a Pesquisadores";"88887.099788/2015-01";"N„o se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"80000,00";"80000,00";"1,0000"
"48016963";"154003152792015NE006702";"2015NE006702";"01/05/2015";"NE";"Nota de Empenho";"Ordin·rio";"ORIGINAL";"26000";"MinistÈrio da EducaÁ„o";"26291";"FundaÁ„o CoordenaÁ„o de AperfeiÁoamento ";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"15279";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"***.274.054-**";"SIMONE CABRAL MARINHO DOS SANTOS";"PARA ATENDER AUXPE FAPERN - 2015SLR49834 - CUSTEIO.";"1";"OrÁamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - ExercÌcio Corrente";"12";"RECURSOS DEST.A MANUT.E DES.DO ENSINO";"26291";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"12";"EducaÁ„o";"364";"Ensino superior";"2032";"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"0487";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSINO SUPERIOR";"Bolsas de Estudos no PaÌs";"04870001";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSI - NACIONAL";"0002";"CONCESSAO DE BOLSAS DE ESTUDOS NO PAIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"AplicaÁıes Diretas";"20";"AuxÌlio Financeiro a Pesquisadores";"88887.100682/2015-01";"N„o se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"12500,00";"12500,00";"1,0000"
"52212875";"154003152792015NE004854";"2015NE004854";"01/05/2015";"NE";"Nota de Empenho";"Ordin·rio";"ORIGINAL";"26000";"MinistÈrio da EducaÁ„o";"26291";"FundaÁ„o CoordenaÁ„o de AperfeiÁoamento ";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"15279";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"***.274.054-**";"SIMONE CABRAL MARINHO DOS SANTOS";"PARA ATENDER AUXPE FAPERN - 2015SLR44712 - CUSTEIO.";"1";"OrÁamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - ExercÌcio Corrente";"12";"RECURSOS DEST.A MANUT.E DES.DO ENSINO";"26291";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"12";"EducaÁ„o";"364";"Ensino superior";"2032";"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"0487";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSINO SUPERIOR";"Bolsas de Estudos no PaÌs";"04870001";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSI - NACIONAL";"0002";"CONCESSAO DE BOLSAS DE ESTUDOS NO PAIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"AplicaÁıes Diretas";"20";"AuxÌlio Financeiro a Pesquisadores";"88887.100682/2015-01";"N„o se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"50000,00";"50000,00";"1,0000"
"51017102";"154003152792015NE006703";"2015NE006703";"01/05/2015";"NE";"Nota de Empenho";"Ordin·rio";"ORIGINAL";"26000";"MinistÈrio da EducaÁ„o";"26291";"FundaÁ„o CoordenaÁ„o de AperfeiÁoamento ";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"15279";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"***.909.804-**";"RUBENILSON BRAZAO TEIXEIRA";"PARA ATENDER AUXPE FAPERN - 2015SLR49834 - CUSTEIO.";"1";"OrÁamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - ExercÌcio Corrente";"12";"RECURSOS DEST.A MANUT.E DES.DO ENSINO";"26291";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"12";"EducaÁ„o";"364";"Ensino superior";"2032";"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"0487";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSINO SUPERIOR";"Bolsas de Estudos no PaÌs";"04870001";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSI - NACIONAL";"0002";"CONCESSAO DE BOLSAS DE ESTUDOS NO PAIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"AplicaÁıes Diretas";"20";"AuxÌlio Financeiro a Pesquisadores";"88887.100681/2015-01";"N„o se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"8750,00";"8750,00";"1,0000"
"48113048";"154003152792015NE004855";"2015NE004855";"01/05/2015";"NE";"Nota de Empenho";"Ordin·rio";"ORIGINAL";"26000";"MinistÈrio da EducaÁ„o";"26291";"FundaÁ„o CoordenaÁ„o de AperfeiÁoamento ";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"15279";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"***.909.804-**";"RUBENILSON BRAZAO TEIXEIRA";"PARA ATENDER AUXPE FAPERN - 2015SLR44712 - CUSTEIO.";"1";"OrÁamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - ExercÌcio Corrente";"12";"RECURSOS DEST.A MANUT.E DES.DO ENSINO";"26291";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"12";"EducaÁ„o";"364";"Ensino superior";"2032";"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"0487";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSINO SUPERIOR";"Bolsas de Estudos no PaÌs";"04870001";"CONCESSAO DE BOLSAS DE ESTUDO NO ENSI - NACIONAL";"0002";"CONCESSAO DE BOLSAS DE ESTUDOS NO PAIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"AplicaÁıes Diretas";"20";"AuxÌlio Financeiro a Pesquisadores";"88887.100681/2015-01";"N„o se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"35000,00";"35000,00";"1,0000"
