RS,IBGE,Município de residência,Casos,Óbitos
18,4100103,Abatiá,1,
2,4100301,Agudos do Sul,11,
2,4100400,Almirante Tamandaré,15,
12,4128625,Alto Paraíso,1,
14,4100608,Alto Paraná,7,
17,4100806,Alvorada do Sul,4,
14,4100905,Amaporã,18,
8,4101002,Ampere,5,1
10,4101051,Anahy,1,
18,4101101,Andira,3,
16,4101408,Apucarana,30,3
16,4101507,Arapongas,19,1
11,4101705,Araruna,16,1
2,4101804,Araucária,33,
17,4101903,Assaí,2,
20,4102000,Assis Chateaubriand,24,
2,4102307,Balsa Nova,5,
18,4102406,Bandeirantes,3,1
8,4102604,Barracão,3,
17,4102802,Bela Vista do Paraíso,1,
10,4103057,Boa Vista da Aparecida,1,
10,4103354,Braganey,1,
17,4103404,Cafeara,1,
10,4103453,Cafelândia,2,
19,4103602,Cambara,1,
17,4103701,Cambé,21,1
11,4103909,Campina da Lagoa,1,1
2,4104006,Campina Grande do Sul,19,3
10,4104055,Campo Bonito,2,
2,4104105,Campo do Tenente,1,
2,4104204,Campo Largo,35,2
2,4104253,Campo Magro,2,
11,4104303,Campo Mourão,48,4
8,4104501,Capanema,2,
10,4104600,Capitão Leônidas Marques,1,
3,4104659,Carambeí,1,
10,4104808,Cascavel,175,6
3,4104907,Castro,3,
17,4105102,Centenário do Sul,3,
10,4105300,Céu Azul,5,
7,4105409,Chopinzinho,2,
13,4105508,Cianorte,29,1
13,4105607,Cidade Gaúcha,2,
2,4105805,Colombo,31,
15,4105904,Colorado,4,
2,4106209,Contenda,3,
18,4106407,Cornélio Procópio,20,
7,4106506,Coronel Vivida,1,
8,4106571,Cruzeiro do Iguaçu,2,
14,4106704,Cruzeiro do Sul,6,
2,4106902,Curitiba,711,35
10,4107124,Diamante do Sul,2,
8,4107207,Dois Vizinhos,1,
12,4107256,Douradina,1,
15,4107306,Doutor Camargo,1,
16,4107603,Faxinal,2,
2,4107652,Fazenda Rio Grande,45,4
4,4107736,Fernandes Pinheiro,1,
19,4107751,Figueira,1,
15,4107900,Floresta,2,
9,4108304,Foz do Iguaçu,81,2
8,4108403,Francisco Beltrão,13,1
6,4108502,General Carneiro,2,
11,4108601,Goioere,5,
5,4108650,Goioxim,1,
20,4108809,Guaíra,14,3
14,4108908,Guairacá,7,1
17,4109203,Guaraci,5,
10,4109302,Guaraniaçu,9,
5,4109401,Guarapuava,20,
1,4109500,Guaraqueçaba,1,1
1,4109609,Guaratuba,6,
19,4109708,Ibaiti,2,
10,4109757,Ibema,13,
17,4109807,Ibiporã,3,
21,4110078,Imbaú,2,
4,4110102,Imbituva,21,
4,4110201,Inácio Martins,1,
4,4110706,Irati,1,
11,4110805,Iretama,3,1
9,4110953,Itaipulândia,1,
2,4111258,Itaperuçu,6,
14,4111308,Itauna do Sul,1,
3,4111407,Ivaí,2,
22,4111506,Ivaiporã,7,2
19,4111803,Jacarezinho,4,
17,4111902,Jaguapitã,1,
3,4112009,Jaguariaíva,1,
13,4112405,Japurá,1,
17,4112702,Jataizinho,3,
13,4113007,Jussara,1,1
16,4113106,Kaloré,1,
2,4113205,Lapa,4,
5,4113304,Laranjeiras do Sul,2,
18,4113403,Leópolis,1,
14,4113502,Loanda,2,
15,4113601,Lobato,1,
17,4113700,Londrina,209,18
11,4113734,Luiziana,1,1
4,4113908,Mallet,2,
11,4114005,Mambore,3,
15,4114104,Mandaguaçu,5,
15,4114203,Mandaguari,2,
2,4114302,Mandirituba,4,
7,4114401,Mangueirinha,3,
22,4114500,Manoel Ribas,1,1
20,4114609,Marechal Candido Rondon,3,
15,4114807,Marialva,1,
16,4114906,Marilândia do Sul,1,
14,4115002,Marilena,10,
15,4115200,Maringá,101,6
7,4115309,Mariópolis,3,
16,4115507,Marumbi,2,
9,4115606,Matelândia,1,
1,4115705,Matinhos,3,
9,4115804,Medianeira,17,
14,4115903,Mirador,13,1
9,4116059,Missal,2,
1,4116208,Morretes,2,
14,4116505,Nova Aliança do Ivaí,1,
10,4116703,Nova Aurora,1,
15,4116901,Nova Esperança,8,
18,4117008,Nova Fatima,1,
14,4117107,Nova Londrina,10,
15,4117503,Paiçandu,2,
7,4117602,Palmas,4,
3,4117701,Palmeira,2,
20,4117909,Palotina,7,
14,4118006,Paraíso do Norte,12,1
15,4118105,Paranacity,6,
1,4118204,Paranaguá,43,3
14,4118303,Paranapoema,2,
14,4118402,Paranavaí,83,6
7,4118501,Pato Branco,17,1
6,4118600,Paula Freitas,3,
11,4118808,Peabiru,2,
2,4119103,Piên,1,
2,4119152,Pinhais,51,3
8,4119251,Pinhal de São Bento,1,
5,4119301,Pinhão,2,
2,4119509,Piraquara,32,
5,4119608,Pitanga,1,
14,4119707,Planaltina do Paraná,9,
3,4119905,Ponta Grossa,49,
1,4119954,Pontal do Paraná,4,
17,4120333,Prado Ferreira,4,
17,4120507,Primeiro de Maio,2,1
11,4120655,Quarto Centenário,1,
19,4120705,Quatiguá,2,1
2,4120804,Quatro Barras,4,
14,4121000,Querência do Norte,8,
2,4121208,Quitandinha,18,
9,4121257,Ramilândia,2,
8,4121406,Realeza,2,
4,4121505,Rebouças,1,
21,4121703,Reserva,3,
18,4121901,Ribeirão do Pinhal,15,1
2,4122206,Rio Branco do Sul,5,
2,4122305,Rio Negro,9,1
17,4122404,Rolândia,4,
19,4122909,Salto do Itararé,1,
14,4123303,Santa Cruz de Monte Castelo,4,
15,4123402,Santa Fé,8,1
14,4123709,Santa Isabel do Ivaí,13,1
18,4123907,Santa Mariana,2,
14,4123956,Santa Monica,9,1
10,4124020,Santa Tereza do Oeste,4,
9,4124053,Santa Terezinha de Itaipu,13,
19,4124004,Santana do Itararé,1,
19,4124103,Santo Antônio da Platina,2,
14,4124202,Santo Antônio do Caiuá,20,1
15,4124509,Santo Inácio,3,
7,4124806,São João,1,
14,4124905,São João do Caiuá,34,1
22,4125001,São João do Ivaí,6,1
19,4125407,São José da Boa Vista,1,
2,4125506,São José dos Pinhais,60,4
13,4125555,São Manoel do Paraná,1,
9,4125704,São Miguel do Iguaçu,2,
18,4126207,Sapopema,1,
15,4126256,Sarandi,8,1
7,4126272,Saudade do Iguaçu,6,
18,4126405,Sertaneja,1,
17,4126504,Sertanopolis,1,1
19,4126603,Siqueira Campos,3,2
17,4126678,Tamarana,1,1
14,4126702,Tamboara,22,1
21,4127106,Telêmaco Borba,25,
11,4127205,Terra Boa,2,1
14,4127304,Terra Rica,16,
2,4127601,Tijucas do Sul,3,
20,4127700,Toledo,12,
10,4127858,Três Barras do Paraná,9,
13,4127908,Tuneiras do Oeste,3,
20,4127957,Tupassi,1,
12,4128104,Umuarama,21,1
6,4128203,União da Vitória,9,
18,4128401,Uraí,4,1
8,4128609,Vere,3,1
7,4128708,Vitorino,1,
19,4128500,Wenceslau Braz,7,
